1	37	1
1	30	1
1	190	1
1	191	1
1	18	1
1	155	1
1	180	1
1	185	1
1	3	1
1	11	1
10	18	10
10	155	10
10	37	10
10	180	10
10	185	10
10	10	10
10	11	10
10	3	10
10	83	10
10	52	10
17	9	17
17	11	17
17	10	17
17	3	17
17	52	17
14	10	14
9	3	9
9	11	9
10	9	10
22	11	22
15	10	15
15	3	15
15	9	15
