1	RGPD	Règlement Général pour Protection des Données à caractère personnel.	0	1	2022-02-23 15:15:28	2021-05-06 18:08:28
2	Droit français		0	1	2022-02-23 15:15:03	2021-05-06 18:08:34
3	Règlement européen		0	1	2022-02-23 15:15:21	2021-08-25 08:27:55
4	Référentiel	Référentiel méthodologique, ensemble structuré de recommandations ou de bonnes pratiques utilisées, de définition, de méthodes, etc.	0	1	2022-02-23 15:15:15	2022-01-14 12:37:19
5	Non définie	\N	0	1	2022-02-23 15:15:09	2022-01-14 12:37:19
6	Contractuel	Le contrat est un engagement ou une convention qui crée des obligations entre deux ou plusieurs personnes physiques ou entités morales	0	1	2024-02-23 15:19:00	2022-04-21 20:12:52
