1	1	1
2	2	2
3	3	3
4	4	4
5	5	5
6	6	6
7	7	7
9	8	8
10	10	10
11	12	12
13	14	14
17	16	16
18	17	17
19	18	18
20	19	19
21	20	20
22	21	21
23	22	22
24	11	11
25	23	23
26	24	24
28	26	26
29	27	27
30	28	28
31	29	29
32	30	30
33	31	31
34	32	32
35	33	33
36	34	34
37	35	35
38	36	36
40	9	9
41	37	37
42	38	38
43	39	39
44	40	40
45	41	41
46	42	42
48	44	44
49	45	45
50	13	13
51	46	46
52	47	47
53	48	48
54	49	49
55	50	50
56	51	51
57	52	52
58	53	53
59	54	54
60	55	55
61	56	56
62	57	57
63	58	58
64	59	59
65	60	60
66	61	61
68	63	63
69	64	64
70	65	65
71	66	66
72	67	67
73	68	68
74	69	69
75	70	70
76	72	72
77	73	73
78	74	74
79	25	25
80	76	76
81	75	75
85	78	78
86	79	79
87	81	81
88	15	15
89	82	82
90	83	83
91	84	84
98	88	88
99	89	89
103	93	93
104	94	94
108	99	99
109	100	100
112	103	103
113	104	104
116	107	107
117	108	108
119	110	110
120	111	111
121	112	112
122	113	113
126	115	115
127	116	116
128	117	117
129	118	118
134	124	124
135	125	125
137	126	126
138	127	127
139	128	128
140	129	129
141	130	130
154	144	144
155	145	145
156	146	146
157	147	147
158	148	148
159	149	149
160	150	150
161	151	151
163	153	153
165	154	154
166	155	155
168	157	157
169	158	158
170	159	159
