1	0	1	Données juridiques		2022-02-08 10:28:22	2022-02-08 09:34:07
2	0	1	Données comptables		2022-02-08 10:23:42	2022-02-08 09:39:30
3	0	1	Données commerciales		2022-02-08 10:23:33	2022-02-08 09:39:40
4	0	1	01 identifiants	Ajouter 02 coordonnées mail, téléphone, adresse 	2023-01-27 21:21:46	2022-02-08 09:39:52
5	0	1	Données médicales		2023-01-10 09:15:45	2022-02-08 09:40:01
6	0	1	Journaux et traçabilité		2022-02-08 10:31:49	2022-02-08 10:31:49
8	0	1	Données fiscales	Les livres, registres, documents ou pièces sur lesquels peuvent s'exercer les droits de communication, d'enquête et de contrôle de l'administration doivent être conservés pendant un délai de 6 ans.	2022-02-11 09:35:53	2022-02-11 09:35:47
9	0	1	03 données d'activités	Rendez-vous, réunions, communications, traces des actions (journaux)	2023-01-27 20:52:42	2022-02-23 17:51:47
10	0	1	Données techniques		2022-11-29 07:56:12	2022-11-29 07:56:12
