1	60	1
2	3	5
4	4	6
5	26	6
6	27	6
7	34	6
8	35	6
9	39	6
10	61	6
11	8	9
12	9	9
13	14	9
14	16	9
15	29	9
16	42	9
17	51	9
18	6	10
19	46	12
20	10	13
21	1	16
22	33	16
24	63	16
25	52	17
27	41	24
28	54	25
29	11	26
30	58	26
31	22	28
32	31	30
33	47	31
34	5	41
35	7	41
38	17	46
39	18	46
40	23	46
41	24	46
43	13	47
44	44	47
45	55	47
46	21	49
47	50	49
48	19	51
49	20	51
50	30	51
51	38	51
52	36	54
53	56	54
54	37	55
56	59	66
57	2	68
58	40	69
59	32	70
86	64	16
87	52	17
127	67	24
130	70	30
131	57	16
132	25	5
134	73	12
135	74	16
136	28	9
137	75	9
140	49	74
142	79	30
145	82	44
146	15	16
147	66	76
148	83	77
149	84	78
152	88	46
153	89	9
157	78	70
158	93	54
159	94	43
164	99	6
165	100	6
172	107	2
173	108	49
176	111	16
177	112	68
178	113	85
180	115	54
181	118	16
188	124	88
189	125	88
190	76	84
191	110	89
192	110	84
193	126	80
194	126	1
195	127	89
205	116	96
206	117	96
208	65	88
210	103	50
211	103	77
212	68	50
213	68	77
216	104	70
232	128	84
233	129	84
234	130	84
235	144	84
236	149	84
237	145	84
238	146	84
239	147	84
240	148	84
241	150	84
242	151	84
243	81	84
244	153	68
245	154	89
247	157	89
248	158	89
249	159	89
